YOLOv8n Metrics
04-16-2026 17:18:09 RAM 5677/7607MB (lfb 1x2MB) SWAP 72/3804MB (cached 0MB) CPU [44%@1036,50%@1036,35%@1036,44%@1036,40%@1036,26%@1036] GR3D_FREQ 50% cpu@49.062C soc2@47.187C soc0@47.468C gpu@49.312C tj@49.312C soc1@46.875C VDD_IN 9116mW/6459mW VDD_CPU_GPU_CV 3968mW/2379mW VDD_SOC 2026mW/1575mW
04-16-2026 17:18:10 RAM 5733/7607MB (lfb 10x1MB) SWAP 72/3804MB (cached 0MB) CPU [48%@1574,52%@1574,49%@1574,47%@1574,55%@883,64%@883] GR3D_FREQ 65% cpu@48.812C soc2@47.062C soc0@47.343C gpu@48.75C tj@48.812C soc1@46.812C VDD_IN 7775mW/6623mW VDD_CPU_GPU_CV 3139mW/2474mW VDD_SOC 1791mW/1602mW
04-16-2026 17:18:11 RAM 5763/7607MB (lfb 2x2MB) SWAP 72/3804MB (cached 0MB) CPU [46%@1420,40%@1420,38%@1420,44%@1420,40%@729,60%@729] GR3D_FREQ 44% cpu@48.75C soc2@47.218C soc0@47.468C gpu@48.718C tj@48.75C soc1@47.156C VDD_IN 7495mW/6720mW VDD_CPU_GPU_CV 2945mW/2527mW VDD_SOC 1754mW/1619mW
04-16-2026 17:18:12 RAM 5807/7607MB (lfb 1x2MB) SWAP 72/3804MB (cached 0MB) CPU [25%@729,20%@729,26%@729,33%@729,48%@1728,41%@1728] GR3D_FREQ 24% cpu@49.406C soc2@47.343C soc0@47.625C gpu@49.375C tj@49.406C soc1@47.281C VDD_IN 10015mW/7050mW VDD_CPU_GPU_CV 4555mW/2729mW VDD_SOC 2142mW/1672mW
04-16-2026 17:18:13 RAM 5836/7607MB (lfb 4x4MB) SWAP 72/3804MB (cached 0MB) CPU [13%@1728,17%@1728,15%@1728,8%@1728,12%@1728,96%@1728] GR3D_FREQ 57% cpu@49.218C soc2@47.281C soc0@47.812C gpu@49.156C tj@49.218C soc1@47.156C VDD_IN 6608mW/7009mW VDD_CPU_GPU_CV 2384mW/2698mW VDD_SOC 1632mW/1668mW
04-16-2026 17:18:14 RAM 5882/7607MB (lfb 1x4MB) SWAP 72/3804MB (cached 0MB) CPU [20%@1728,41%@1728,21%@1728,15%@1728,66%@729,24%@729] GR3D_FREQ 0% cpu@48.781C soc2@47.25C soc0@47.562C gpu@49.125C tj@49.125C soc1@47.312C VDD_IN 5582mW/6891mW VDD_CPU_GPU_CV 1831mW/2626mW VDD_SOC 1472mW/1652mW
04-16-2026 17:18:15 RAM 5924/7607MB (lfb 1x4MB) SWAP 72/3804MB (cached 0MB) CPU [6%@1728,100%@1728,18%@1728,4%@1728,14%@1728,1%@1728] GR3D_FREQ 0% cpu@48.906C soc2@47.187C soc0@47.531C gpu@49.031C tj@49.031C soc1@47.281C VDD_IN 5342mW/6771mW VDD_CPU_GPU_CV 1671mW/2552mW VDD_SOC 1433mW/1635mW
04-16-2026 17:18:16 RAM 5994/7607MB (lfb 7x1MB) SWAP 72/3804MB (cached 0MB) CPU [4%@1728,100%@1728,14%@1728,1%@1728,12%@729,1%@729] GR3D_FREQ 0% cpu@48.781C soc2@47.125C soc0@47.562C gpu@49.062C tj@49.062C soc1@47.375C VDD_IN 5302mW/6666mW VDD_CPU_GPU_CV 1592mW/2484mW VDD_SOC 1435mW/1621mW
04-16-2026 17:18:17 RAM 5990/7607MB (lfb 1x4MB) SWAP 73/3804MB (cached 0MB) CPU [10%@729,96%@729,12%@729,10%@729,17%@1728,15%@1728] GR3D_FREQ 9% cpu@49.125C soc2@47.218C soc0@47.656C gpu@48.718C tj@49.125C soc1@47.187C VDD_IN 5502mW/6589mW VDD_CPU_GPU_CV 1751mW/2435mW VDD_SOC 1433mW/1608mW
04-16-2026 17:18:18 RAM 5917/7607MB (lfb 4x4MB) SWAP 73/3804MB (cached 0MB) CPU [5%@729,8%@729,6%@729,4%@729,100%@1728,1%@1728] GR3D_FREQ 0% cpu@48.937C soc2@47.125C soc0@47.843C gpu@48.75C tj@48.937C soc1@47.156C VDD_IN 5422mW/6516mW VDD_CPU_GPU_CV 1592mW/2382mW VDD_SOC 1472mW/1600mW
04-16-2026 17:18:19 RAM 5333/7607MB (lfb 54x4MB) SWAP 73/3804MB (cached 0MB) CPU [14%@729,13%@729,21%@729,18%@729,98%@1728,13%@1728] GR3D_FREQ 0% cpu@48.656C soc2@47.062C soc0@47.593C gpu@48.687C tj@48.687C soc1@47.281C VDD_IN 5382mW/6449mW VDD_CPU_GPU_CV 1472mW/2329mW VDD_SOC 1475mW/1592mW
